Priority,Region,Model Variable,Use,Dataset,PI,NA Status,Local Folder,File Count,SeaBASS / Repository Link,Next Action,Notes
1,NA,"T(z) S(z) - temperature and salinity",Physical forcing - viscosity correction for all sinking speeds,CTD profiles,Norman Nelson,DOWNLOADED,data/NA/ctd/raw,333 .sb files,https://seabass.gsfc.nasa.gov/archive/UCSB/CRSEO/EXPORTS/exportsna,Parse T(z) and S(z) into clean depth profiles,Primary physical forcing. Extract T_K(z) and S(z) for DepthProfile. Also includes ADCP files.
1,NA,T(z) S(z) - from float,Physical forcing - continuous profile,CTD from Lagrangian float,Eric D'Asaro,DOWNLOADED,data/NA/lagrangian_float/raw,7 .sb files,https://seabass.gsfc.nasa.gov/archive/UWASH/dasaro/EXPORTS/exportsna,Parse float T S profiles,Continuous T S from float. Useful for temporal variability.
1,NA,"PSD_surface(d,t) - top 5 m particle size distribution",Daily surface boundary condition for 1-D model,UVP processed particle size distributions,Andrew McDonnell / Lee Karp-Boss,DOWNLOADED,data/NA/uvp/raw,2 .sb files (differential + nondifferential),https://seabass.gsfc.nasa.gov/archive/UAF/amcdonnell/EXPORTS/exportsna,Parse top 5 m PSD → surface forcing each day,Use processed data. Two files cover full cruise. Raw UVP casts also in data/NA/UVP_Data/export_raw (101 TSV files) as backup.
1,NA,epsilon(z) - turbulence dissipation,CRITICAL - sets D_max(z) for disaggregation,VMP (Vertical Microstructure Profiler),Adrian Burd (shared directly),DOWNLOADED,data/NA/Turbulance,1 .mat file (keps_for_dave.mat 4.2 MB),"NOT on SeaBASS - shared by Adrian directly",Load mat file and extract epsilon(z) profiles,keps_for_dave.mat contains epsilon profiles. Load and check variable names. Critical for D_max(z) = A_D * epsilon^(-1/4).
2,NA,"n(d,z,t) - particle size distribution",Main comparison variable (prime variable to match),UVP particle size distributions,Andrew McDonnell / Lee Karp-Boss,DOWNLOADED,data/NA/uvp/raw,2 .sb files,https://seabass.gsfc.nasa.gov/archive/UAF/amcdonnell/EXPORTS/exportsna,Parse full depth PSD → model comparison,Size range ~100 um to 1.5 mm = model bins 8-23 (approx). Raw casts in UVP_Data/export_raw.
2,NA,"n(d,z,t) - small size range",Fills bins 1-7 (<100 um) that UVP misses,Imaging FlowCytobot (IFCB),Heidi Sosik / Lee Karp-Boss,DOWNLOADED,data/NA/ifcb/raw,2980 .sb files (inline + discrete DY131 and JC214),https://seabass.gsfc.nasa.gov/archive/WHOI/SOSIK/EXPORTS/exportsna,Parse IFCB for small size bins,Covers <100 um. 2980 files = high temporal resolution inline + discrete station casts.
2,NA,"n(d,z,t) - intermediate size",Fills gap between FlowCytobot and UVP,Particle size distribution LISST-DEEP,Andrew McDonnell,DOWNLOADED,data/NA/lisst/raw,13 .sb files,https://seabass.gsfc.nasa.gov/archive/UAF/amcdonnell/EXPORTS/exportsna,Parse LISST size bins,Complements UVP. 13 casts.
2,NA,n(d,z,t) - 1-100 um,Small bin constraint,Particle size distribution Coulter Counter,Xiaodong Zhang,DOWNLOADED,data/NA/coulter/raw,1 .sb file,https://seabass.gsfc.nasa.gov/archive/USM/Zhang/EXPORTS/exportsna,Parse Coulter for bin 1-7,Single file covers cruise. Covers 1-100 um.
3,NA,"Flux(d,z) - size-resolved particle flux",Transfer efficiency + fecal vs aggregate split,Particle fluxes from gel traps (size-resolved),Colleen Durkin,DOWNLOADED,data/NA/sediment_trap_durkin/raw,3 .sb files,https://seabass.gsfc.nasa.gov/archive/MBARI/durkin/EXPORTS/exportsna/archive,Parse flux by size and particle type,Best comparison for model size-spectrum flux. Has aggregate vs fecal pellet split.
3,NA,Flux(z) - optical trap,Continuous flux time series,Particle flux to optical sediment traps (ATN),Margaret Estapa,DOWNLOADED,data/NA/sediment_trap_estapa/raw,5 .sb files,https://seabass.gsfc.nasa.gov/archive/MAINE/estapa/EXPORTS/exportsna/archive,Parse optical trap flux time series,Continuous flux. Good for temporal variability.
3,NA,TE - transfer efficiency,Cross-check model TE (currently 1.1%),234Th particle flux,Ken Buesseler,DOWNLOADED,data/NA/thorium_buesseler/raw,2 .sb files,https://seabass.gsfc.nasa.gov/archive/WHOI/buesseler/EXPORTS/EXPORTSNA/archive,Parse 234Th flux and compute TE,Integrated POC flux from radionuclide tracer. Reference for TE.
4,NA,r(z) - microbial remineralization rate,Constrain microbe_r0 parameter,O2 drawdown community and bacterial respiration rates,Scott Gifford,DOWNLOADED,data/NA/microbial_respiration_gifford/raw,2 .sb files,https://seabass.gsfc.nasa.gov/archive/UNC/gifford/EXPORTS/EXPORTSNA/archive,Parse respiration rates → convert to r [day-1],Respiration rates at multiple depths.
4,NA,r(z) - particle-attached respiration,Most direct constraint for r on sinking particles,Particle-associated respiration (in situ particle capture),Alyson Santoro,DOWNLOADED,data/NA/particle_respiration_santoro/raw,3 .sb files,https://seabass.gsfc.nasa.gov/archive/UCSB/santoro/EXPORTS/exportsna,Parse particle respiration rates,Respiration on sinking particles. Most direct constraint for model r term.
4,NA,r - bacterial production,BGE context for r0,3H-Leu incorporation bacterial production,Craig Carlson,DOWNLOADED,data/NA/bacterial_production_carlson/raw,6 .sb files,https://seabass.gsfc.nasa.gov/archive/UCSB/carlson/EXPORTS/EXPORTSNA/archive,Parse bacterial production rate,Gives BGE context for r0.
5,NA,alpha - stickiness,KEY unknown - TEP directly controls stickiness,TEP concentration upper 500 m,Uta Passow,DOWNLOADED,data/NA/passow_tep_sinking/raw,4 .sb files,https://seabass.gsfc.nasa.gov/archive/MU_NEWFOUNDLAND/passow/EXPORTS/exportsna,Parse TEP profile → use as prior for alpha range,TEP profile 0-500 m. Higher TEP = higher alpha. Also has sinking speed data for real aggregates.
5,NA,w(d) - aggregate sinking speed,Validates sinking law (kriest_8),Sinking speeds from Marine Snow Catcher (in passow folder),Uta Passow,DOWNLOADED,data/NA/passow_tep_sinking/raw,4 .sb files (same folder as TEP),https://seabass.gsfc.nasa.gov/archive/MU_NEWFOUNDLAND/passow/EXPORTS/exportsna,Parse sinking speed data from passow files,Check file headers - sinking speed and TEP may be in same or separate files.
6,NA,"Zc(z) Zf(z) - filter/flux feeder concentration",Grazing forcing depth profile,Zooplankton biomass/abundance (net tows),Deborah Steinberg / Amy Maas,CONTACT NEEDED,--- not downloaded ---,0,Not yet listed in SeaBASS,Contact PI (Amy / Debbie),MOCNESS net tows. Abundance by depth and size fraction. Not daily.
6,NA,"Zc(z) Zf(z) - acoustic",Grazing forcing continuous profile,Bio-acoustic zooplankton biomass,Amy Maas / Eric D'Asaro,CONTACT NEEDED,--- not downloaded ---,0,Not yet available,Ask PI if derived product is ready,Acoustic backscatter + biomass profiles.
6,NA,zoo_p - egestion fraction,Calibrate fecal production fraction p,Zooplankton respiration excretion egestion experiments,Amy Maas,CONTACT NEEDED,--- not downloaded ---,0,Not yet listed,Contact PI (Amy),Egestion rates per species. Constrains zoo_p.
6,NA,zoo_ic - fecal pellet bin,Validate bin 8 (~115 um) fecal bin,Fecal pellet production by species,Deborah Steinberg,NA NOT AVAILABLE,--- NP only ---,0,https://seabass.gsfc.nasa.gov/archive/VIMS/Steinberg/EXPORTS/EXPORTSNP/archive/ (NP only),Use NP as reference; contact PI for NA status,Per-species pellet size. NA data not yet available.
6,NA,"Fecal flux(z) - by type and depth",Validate Y_fp column prediction,Fecal pellet fluxes by pellet type at each depth,Deborah Steinberg,CONTACT NEEDED,--- not downloaded ---,0,- contact Steinberg,Ask Adrian then contact PI,Depth profile of fecal flux. Needed to validate Y_fp prediction.
7,NA,Zm(z) - mining zooplankton concentration,Constrain mining_Zm depth profile,Vertical profiles of protistan grazing capacity (mesopelagic),Susanne Menden-Deuer,DOWNLOADED,data/NA/protistan_grazing_menden_deuer/raw,3 .sb files,https://seabass.gsfc.nasa.gov/archive/URI/menden-deuer/EXPORTS/exportsna,Parse grazing rates → extract Zm(z),Most direct constraint for mining_Zm.
8,NA,PP(z=0) - surface production,Sets surface_pp_mu boundary condition,Net primary production rate,Adrian Marchetti,DOWNLOADED,data/NA/npp_marchetti/raw,2 .sb files,https://seabass.gsfc.nasa.gov/archive/UNC/marchetti/EXPORTS/exportsna,Parse NPP [mg C/m3/day] → surface_pp_mu,NPP rate. Use to set surface_pp_mu in model.
9,NA,"aggregation / disaggregation rates",Independent physics check on coagulation kernel,Lithogenic particle cycling,Phoebe Lam,NOT DOWNLOADED,--- not downloaded ---,0,https://www.bco-dmo.org/ (search Lam EXPORTS),Download from BCO-DMO,aggregation_rate_constant disaggregation_rate_constant sinking_rate. Rare independent check on model physics.
10,NA,O2(z) - oxygen profile,Confirms oxic conditions; context for microbial r,Oxygen from Lagrangian float,Eric D'Asaro,DOWNLOADED,data/NA/lagrangian_float/raw,7 .sb files (same as T/S float),https://seabass.gsfc.nasa.gov/archive/UWASH/dasaro/EXPORTS/exportsna,Check float files for O2 variable,Same float files as T/S. Check if O2 field is included.
10,NA,Chlorophyll(z),Surface condition and mixed layer depth,Chlorophyll from Lagrangian float,Eric D'Asaro,DOWNLOADED,data/NA/lagrangian_float/raw,7 .sb files (same as T/S float),https://seabass.gsfc.nasa.gov/archive/UWASH/dasaro/EXPORTS/exportsna,Check float files for Chl variable,Chl profile. Useful for locating mixed layer depth.
